Menu Item,Qty_Sold,Total_Revenue,BCG_Matrix,Void_Count,Discount_Count,Total_Discount_Amt,Transaction_Count,Item_Void_Rate,Item_Discount_Freq
Andre Clouet 3L,5,1350,Puzzle,0,5,16346.0,5,0.0,1.0
Andre Clouet GL,26,375,Plowhorse,0,6,1732.0,20,0.0,0.3
Andre Clout,3,225,Dog,0,0,0.0,3,0.0,0.0
"André Clouet, Rosé",2,179,Dog,1,1,60.0,2,0.5,0.5
Angel's Envy Bourbon,403,9672,Star,8,48,4652.0,345,0.02318840579710145,0.1391304347826087
Angel's Envy Cktl Sample (THU),5,40,Dog,0,0,0.0,1,0.0,0.0
Angel's Envy Rye,111,3951,Star,4,20,1906.0,99,0.04040404040404041,0.20202020202020202
Angels Envy EM,10,160,Dog,0,0,0.0,9,0.0,0.0
Angels Envy OF,6,96,Dog,0,0,0.0,6,0.0,0.0
Angels Envy Triple Oak,20,566,Star,3,2,32.0,15,0.2,0.13333333333333333
Angels Triple Oak Rhubarb OF (THU),10,160,Dog,0,0,0.0,6,0.0,0.0
Aperol,1302,17668,Star,18,193,8535.0,1134,0.015873015873015872,0.17019400352733685
Aperol- Daydream Spritz,27,432,Star,0,0,0.0,4,0.0,0.0
Aperol- Summer Solstice,7,112,Dog,0,0,0.0,6,0.0,0.0
Apple Cider Aperol Spritz,100,1456,Star,2,26,4856.0,97,0.020618556701030927,0.26804123711340205
Arette Blanco,1,16,Dog,0,1,24.0,1,0.0,1.0
Asparagus Roll,9,180,Dog,0,1,12.0,9,0.0,0.1111111111111111
Astral Blanco,4,62,Dog,0,0,0.0,3,0.0,0.0
Austin Paso Robles GL,52,668,Star,1,16,1740.0,50,0.02,0.32
Avion Cristalino,33,1070,Star,2,6,36.0,19,0.10526315789473684,0.3157894736842105
BF Refill,2,0,Dog,0,2,21.0,2,0.0,1.0
BR Fries,222,1567,Star,11,84,6490.0,210,0.05238095238095238,0.4
BR Shot,3415,28388,Star,72,389,30611.0,1390,0.051798561151079135,0.2798561151079137
